,name,type1,type2,ability1,ability2,hiddenability,hp,atk,physdef,spatk,spdef,speed,bst,alternate,isLegend,isFinal,tier
265,Silcoon,bug,,Shed Skin,,,50,35,55,25,25,15,205,False,False,False,NFE
266,Beautifly,bug,flying,Swarm,Rivalry,,60,70,50,100,50,65,395,False,False,True,RU
267,Cascoon,bug,,Shed Skin,,,50,35,55,25,25,15,205,False,False,False,NFE
268,Dustox,bug,poison,Shield Dust,Compound Eyes,,60,50,70,50,90,65,385,False,False,True,RU
269,Lotad,water,grass,Swift Swim,Rain Dish,Own Tempo,40,30,30,40,50,30,220,False,False,False,LC
270,Lombre,water,grass,Swift Swim,Rain Dish,Own Tempo,60,50,50,60,70,50,340,False,False,False,NFE
271,Ludicolo,water,grass,Swift Swim,Rain Dish,Own Tempo,80,70,70,90,100,70,480,False,False,True,RU
272,Seedot,grass,,Chlorophyll,Early Bird,Pickpocket,40,40,50,30,30,30,220,False,False,False,LC
273,Nuzleaf,grass,dark,Chlorophyll,Early Bird,Pickpocket,70,70,40,60,40,60,340,False,False,False,NFE
274,Shiftry,grass,dark,Chlorophyll,Early Bird,Pickpocket,90,100,60,90,60,80,480,False,False,True,RU
275,Taillow,normal,flying,Guts,Scrappy,,40,55,30,30,30,85,270,False,False,False,LC
276,Swellow,normal,flying,Guts,Scrappy,,60,85,60,75,50,125,455,False,False,True,UU
277,Wingull,water,flying,Keen Eye,Hydration,Rain Dish,40,30,30,55,30,85,270,False,False,False,LC
278,Pelipper,water,flying,Keen Eye,Drizzle,Rain Dish,60,50,100,95,70,65,440,False,False,True,OU
279,Ralts,psychic,fairy,Synchronize,Trace,Telepathy,28,25,25,45,35,40,198,False,False,False,LC
280,Kirlia,psychic,fairy,Synchronize,Trace,Telepathy,38,35,35,65,55,50,278,False,False,False,NFE
281,Gardevoir,psychic,fairy,Synchronize,Trace,Telepathy,68,65,65,125,115,80,518,False,False,True,RU
282,Surskit,bug,water,Swift Swim,Rain Dish,,40,30,32,50,52,65,269,False,False,False,LC
283,Masquerain,bug,flying,Intimidate,Unnerve,,70,60,62,100,82,80,454,False,False,True,RU
284,Shroomish,grass,,Effect Spore,Poison Heal,Quick Feet,60,40,60,40,60,35,295,False,False,False,LC
285,Breloom,grass,fighting,Effect Spore,Poison Heal,Technician,60,130,80,60,60,70,460,False,False,True,RU
286,Slakoth,normal,,Truant,,,60,60,60,35,35,30,280,False,False,False,LC
287,Vigoroth,normal,,Vital Spirit,,,80,80,80,55,55,90,440,False,False,False,NFE
288,Slaking,normal,,Truant,,,150,160,100,95,65,100,670,False,False,True,RU
289,Nincada,bug,ground,Compound Eyes,Run Away,,31,45,90,30,30,40,266,False,False,False,LC
290,Ninjask,bug,flying,Speed Boost,Infiltrator,,61,90,45,50,50,160,456,False,False,True,RU
291,Shedinja,bug,ghost,Wonder Guard,,,1,90,45,30,30,40,236,False,False,True,AG
292,Whismur,normal,,Soundproof,Rattled,,64,51,23,51,23,28,240,False,False,False,LC
293,Loudred,normal,,Soundproof,Scrappy,,84,71,43,71,43,48,360,False,False,False,NFE
294,Exploud,normal,,Soundproof,Scrappy,,104,91,63,91,73,68,490,False,False,True,RU
295,Makuhita,fighting,,Thick Fat,Guts,Sheer Force,72,60,30,20,30,25,237,False,False,False,LC
296,Hariyama,fighting,,Thick Fat,Guts,Sheer Force,144,120,60,40,60,50,474,False,False,True,RU
297,Azurill,normal,fairy,Thick Fat,Huge Power,Sap Sipper,50,20,40,20,40,20,190,False,False,False,LC
298,Nosepass,rock,,Sturdy,Magnet Pull,Sand Force,30,45,135,45,90,30,375,False,False,False,LC
299,Skitty,normal,,Cute Charm,Normalize,Wonder Skin ,50,45,45,35,35,50,260,False,False,False,LC
300,Delcatty,normal,,Cute Charm,Normalize,Wonder Skin ,70,65,65,55,55,90,400,False,False,True,RU
301,Sableye,dark,ghost,Keen Eye,Stall,Prankster,50,75,75,65,65,50,380,False,False,True,RU
302,Mawile,steel,fairy,Hyper Cutter,Intimidate,Sheer Force,50,85,85,55,55,50,380,False,False,True,RU
303,Aron,steel,rock,Sturdy,Rock Head,Heavy Metal,50,70,100,40,40,30,330,False,False,False,LC
304,Lairon,steel,rock,Sturdy,Rock Head,Heavy Metal,60,90,140,50,50,40,430,False,False,False,NFE
305,Aggron,steel,rock,Sturdy,Rock Head,Heavy Metal,70,110,180,60,60,50,530,False,False,True,RU
306,Meditite,fighting,psychic,Pure Power,Telepathy,,30,40,55,40,55,60,280,False,False,False,NFE
307,Medicham,fighting,psychic,Pure Power,Telepathy,,60,60,75,60,75,80,410,False,False,True,RU
308,Electrike,electric,,Static,Lightning Rod,Minus,40,45,40,65,40,65,295,False,False,False,LC
309,Manectric,electric,,Static,Lightning Rod,Minus,70,75,60,105,60,105,475,False,False,True,RU
310,Plusle,electric,,Plus,Lightning Rod,,60,50,40,85,75,95,405,False,False,True,RU
311,Minun,electric,,Minus,Volt Absorb,,60,40,50,75,85,95,405,False,False,True,RU
312,Volbeat,bug,,Illuminate,Swarm,Prankster,65,73,75,47,85,85,430,False,False,True,RU
313,Illumise,bug,,Oblivious,Tinted Lens,Prankster,65,47,75,73,85,85,430,False,False,True,RU
314,Roselia,grass,poison,Natural Cure,Poison Point,Leaf Guard,50,60,45,100,80,65,400,False,False,False,NFE
315,Gulpin,poison,,Liquid Ooze,Sticky Hold,Gluttony,70,43,53,43,53,40,302,False,False,False,LC
316,Swalot,poison,,Liquid Ooze,Sticky Hold,Gluttony,100,73,83,73,83,55,467,False,False,True,RU
317,Carvanha,water,dark,Rough Skin,Speed Boost,,45,90,20,65,20,65,305,False,False,False,LC
318,Sharpedo,water,dark,Rough Skin,Speed Boost,,70,120,40,95,40,95,460,False,False,True,RU
319,Wailmer,water,,Water Veil,Oblivious,Pressure,130,70,35,70,35,60,400,False,False,False,LC
320,Wailord,water,,Water Veil,Oblivious,Pressure,170,90,45,90,45,60,500,False,False,True,RU
321,Numel,fire,ground,Oblivious,Simple,Own Tempo,60,60,40,65,45,35,305,False,False,False,LC
322,Camerupt,fire,ground,Magma Armor,Solid Rock,Anger Point,70,100,70,105,75,40,460,False,False,True,RU
323,Torkoal,fire,,White Smoke,Drought,Shell Armor,70,85,140,85,70,20,470,False,False,True,UU
324,Spoink,psychic,,Thick Fat,Own Tempo,Gluttony,60,25,35,70,80,60,330,False,False,False,LC
325,Grumpig,psychic,,Thick Fat,Own Tempo,Gluttony,80,45,65,90,110,80,470,False,False,True,RU
326,Spinda,normal,,Own Tempo,Tangled Feet,Contrary,60,60,60,60,60,60,360,False,False,True,RU
327,Trapinch,ground,,Hyper Cutter,Arena Trap,Sheer Force,45,100,45,45,45,10,290,False,False,False,LC
328,Vibrava,ground,dragon,Levitate,,,50,70,50,50,50,70,340,False,False,False,NFE
329,Flygon,ground,dragon,Levitate,,,80,100,80,80,80,100,520,False,False,True,RU
330,Cacnea,grass,,Sand Veil,Water Absorb,,50,85,40,85,40,35,335,False,False,False,LC
331,Cacturne,grass,dark,Sand Veil,Water Absorb,,70,115,60,115,60,55,475,False,False,True,RU
332,Swablu,normal,flying,Natural Cure,Cloud Nine,,45,40,60,40,75,50,310,False,False,False,LC
333,Altaria,dragon,flying,Natural Cure,Cloud Nine,,75,70,90,70,105,80,490,False,False,True,RU
334,Zangoose,normal,,Immunity,Toxic Boost,,73,115,60,60,60,90,458,False,False,True,RU
335,Seviper,poison,,Shed Skin,Infiltrator,,73,100,60,100,60,65,458,False,False,True,RU
336,Lunatone,rock,psychic,Levitate,,,90,55,65,95,85,70,460,False,False,True,RU
337,Solrock,rock,psychic,Levitate,,,90,95,85,55,65,70,460,False,False,True,RU
338,Barboach,water,ground,Oblivious,Anticipation,Hydration,50,48,43,46,41,60,288,False,False,False,LC
339,Whiscash,water,ground,Oblivious,Anticipation,Hydration,110,78,73,76,71,60,468,False,False,True,RU
340,Corphish,water,,Hyper Cutter,Shell Armor,Adaptability,43,80,65,50,35,35,308,False,False,False,LC
341,Crawdaunt,water,dark,Hyper Cutter,Shell Armor,Adaptability,63,120,85,90,55,55,468,False,False,True,RU
342,Baltoy,ground,psychic,Levitate,,,40,40,55,40,70,55,300,False,False,False,LC
343,Claydol,ground,psychic,Levitate,,,60,70,105,70,120,75,500,False,False,True,RU
344,Lileep,rock,grass,Suction Cups,Storm Drain,,66,41,77,61,87,23,355,False,False,False,LC
345,Cradily,rock,grass,Suction Cups,Storm Drain,,86,81,97,81,107,43,495,False,False,True,RU
346,Anorith,rock,bug,Battle Armor,Swift Swim,,45,95,50,40,50,75,355,False,False,False,LC
347,Armaldo,rock,bug,Battle Armor,Swift Swim,,75,125,100,70,80,45,495,False,False,True,RU
348,Feebas,water,,Swift Swim,Oblivious,Adaptability,20,15,20,10,55,80,200,False,False,False,LC
349,Milotic,water,,Marvel Scale,Competitive,Cute Charm,95,60,79,100,125,81,540,False,False,True,RU
350,Castform,normal,,Forecast,,,70,70,70,70,70,70,420,False,False,True,RU
351,Kecleon,normal,,Color Change,Protean,,60,90,70,60,120,40,440,False,False,True,RU
352,Shuppet,ghost,,Insomnia,Frisk,Cursed Body,44,75,35,63,33,45,295,False,False,False,LC
353,Banette,ghost,,Insomnia,Frisk,Cursed Body,64,115,65,83,63,65,455,False,False,True,RU
354,Duskull,ghost,,Levitate,Frisk,,20,40,90,30,90,25,295,False,False,False,LC
355,Dusclops,ghost,,Pressure,Frisk,,40,70,130,60,130,25,455,False,False,False,NFE
356,Tropius,grass,flying,Chlorophyll,Solar Power,Harvest,99,68,83,72,87,51,460,False,False,True,RU
357,Chimecho,psychic,,Levitate,,,75,50,80,95,90,65,455,False,False,True,RU
358,Absol,dark,,Pressure,Super Luck,Justified,65,130,60,75,60,75,465,False,False,True,RU
359,Wynaut,psychic,,Shadow Tag,Telepathy,,95,23,48,23,48,23,260,False,False,False,LC
360,Snorunt,ice,,Inner Focus,Ice Body,Moody,50,50,50,50,50,50,300,False,False,False,LC
361,Glalie,ice,,Inner Focus,Ice Body,Moody,80,80,80,80,80,80,480,False,False,True,RU
362,Spheal,ice,water,Thick Fat,Ice Body,Oblivious,70,40,50,55,50,25,290,False,False,False,LC
363,Sealeo,ice,water,Thick Fat,Ice Body,Oblivious,90,60,70,75,70,45,410,False,False,False,NFE
364,Walrein,ice,water,Thick Fat,Ice Body,Oblivious,110,80,90,95,90,65,530,False,False,True,RU
365,Clamperl,water,,Shell Armor,Rattled,,35,64,85,74,55,32,345,False,False,False,LC
366,Huntail,water,,Swift Swim,Water Veil,,55,104,105,94,75,52,485,False,False,True,RU
367,Gorebyss,water,,Swift Swim,Hydration,,55,84,105,114,75,52,485,False,False,True,RU
368,Relicanth,water,rock,Swift Swim,Rock Head,Sturdy,100,90,130,45,65,55,485,False,False,True,RU
369,Luvdisc,water,,Swift Swim,Hydration,,43,30,55,40,65,97,330,False,False,True,RU
370,Bagon,dragon,,Rock Head,Sheer Force,,45,75,60,40,30,50,300,False,False,False,LC
371,Shelgon,dragon,,Rock Head,Overcoat,,65,95,100,60,50,50,420,False,False,False,NFE
372,Salamence,dragon,flying,Intimidate,Moxie,,95,135,80,110,80,100,600,False,False,True,RU
373,Beldum,steel,psychic,Clear Body,Light Metal,,40,55,80,35,60,30,300,False,False,False,LC
374,Metang,steel,psychic,Clear Body,Light Metal,,60,75,100,55,80,50,420,False,False,False,NFE
375,Metagross,steel,psychic,Clear Body,Light Metal,,80,135,130,95,90,70,600,False,False,True,RU
376,Regirock,rock,,Clear Body,Sturdy,,80,100,200,50,100,50,580,False,True,True,RU
377,Regice,ice,,Clear Body,Ice Body,,80,50,100,100,200,50,580,False,True,True,RU
378,Registeel,steel,,Clear Body,Light Metal,,80,75,150,75,150,50,580,False,True,True,RU
379,Latias,dragon,psychic,Levitate,,,80,80,90,110,130,110,600,False,True,True,RU
380,Latios,dragon,psychic,Levitate,,,80,90,80,130,110,110,600,False,True,True,RU
381,Kyogre,water,,Drizzle,,,100,100,90,150,140,90,670,False,True,True,Uber
382,Groudon,ground,,Drought,,,100,150,140,100,90,90,670,False,True,True,Uber
383,Rayquaza,dragon,flying,Air Lock,,,105,150,90,150,90,95,680,False,True,True,Uber
384,Jirachi,steel,psychic,Serene Grace,,,100,100,100,100,100,100,600,False,True,True,RU
385,Deoxys,psychic,,Pressure,,,50,150,50,150,50,150,600,False,True,True,Uber
386,Turtwig,grass,,Overgrow,Shell Armor,,55,68,64,45,55,31,318,False,False,False,LC
387,Grotle,grass,,Overgrow,Shell Armor,,75,89,85,55,65,36,405,False,False,False,NFE
388,Torterra,grass,ground,Overgrow,Shell Armor,,95,109,105,75,85,56,525,False,False,True,RU
389,Chimchar,fire,,Blaze,Iron Fist,,44,58,44,58,44,61,309,False,False,False,LC
390,Monferno,fire,fighting,Blaze,Iron Fist,,64,78,52,78,52,81,405,False,False,False,NFE
391,Infernape,fire,fighting,Blaze,Iron Fist,,76,104,71,104,71,108,534,False,False,True,RU
392,Piplup,water,,Torrent,Defiant,,53,51,53,61,56,40,314,False,False,False,LC
393,Prinplup,water,,Torrent,Defiant,,64,66,68,81,76,50,405,False,False,False,NFE
394,Empoleon,water,steel,Torrent,Defiant,,84,86,88,111,101,60,530,False,False,True,RU
395,Starly,normal,flying,Keen Eye,Reckless,,40,55,30,30,30,60,245,False,False,False,LC
396,Staravia,normal,flying,Intimidate,Reckless,,55,75,50,40,40,80,340,False,False,False,NFE
397,Staraptor,normal,flying,Intimidate,Reckless,,85,120,70,50,60,100,485,False,False,True,RU
398,Bidoof,normal,,Simple,Unaware,Moody,59,45,40,35,40,31,250,False,False,False,LC
399,Bibarel,normal,water,Simple,Unaware,Moody,79,85,60,55,60,71,410,False,False,True,RU
400,Kricketot,bug,,Shed Skin,Run Away,,37,25,41,25,41,25,194,False,False,False,LC
401,Kricketune,bug,,Swarm,Technician,,77,85,51,55,51,65,384,False,False,True,RU
402,Shinx,electric,,Rivalry,Intimidate,Guts,45,65,34,40,34,45,263,False,False,False,LC
403,Luxio,electric,,Rivalry,Intimidate,Guts,60,85,49,60,49,60,363,False,False,False,NFE
404,Luxray,electric,,Rivalry,Intimidate,Guts,80,120,79,95,79,70,523,False,False,True,RU
405,Budew,grass,poison,Natural Cure,Poison Point,Leaf Guard,40,30,35,50,70,55,280,False,False,False,LC
406,Roserade,grass,poison,Natural Cure,Poison Point,Technician,60,70,65,125,105,90,515,False,False,True,RU
407,Cranidos,rock,,Mold Breaker,Sheer Force,,67,125,40,30,30,58,350,False,False,False,LC
408,Rampardos,rock,,Mold Breaker,Sheer Force,,97,165,60,65,50,58,495,False,False,True,RU
409,Shieldon,rock,steel,Sturdy,Soundproof,,30,42,118,42,88,30,350,False,False,False,LC
410,Bastiodon,rock,steel,Sturdy,Soundproof,,60,52,168,47,138,30,495,False,False,True,RU
411,Burmy,bug,,Shed Skin,Overcoat,,40,29,45,29,45,36,224,False,False,False,LC
412,Wormadam,bug,grass,Anticipation,Overcoat,,60,59,85,79,105,36,424,False,False,True,RU
413,Mothim,bug,flying,Swarm,Tinted Lens,,70,94,50,94,50,66,424,False,False,True,RU
414,Combee,bug,flying,Honey Gather,Hustle,,30,30,42,30,42,70,244,False,False,False,LC
415,Vespiquen,bug,flying,Pressure,Unnerve,,70,80,102,80,102,40,474,False,False,True,RU
416,Pachirisu,electric,,Run Away,Pickup,Volt Absorb,60,45,70,45,90,95,405,False,False,True,RU
417,Buizel,water,,Swift Swim,Water Veil,,55,65,35,60,30,85,330,False,False,False,LC
418,Floatzel,water,,Swift Swim,Water Veil,,85,105,55,85,50,115,495,False,False,True,RU
419,Cherubi,grass,,Chlorophyll,,,45,35,45,62,53,35,275,False,False,False,LC
420,Cherrim,grass,,Flower Gift,,,70,60,70,87,78,85,450,False,False,True,RU
421,Shellos,water,,Sticky Hold,Storm Drain,Sand Force,76,48,48,57,62,34,325,False,False,False,LC
422,Gastrodon,water,ground,Sticky Hold,Storm Drain,Sand Force,111,83,68,92,82,39,475,False,False,True,UU
423,Ambipom,normal,,Technician,Pickup,Skill Link,75,100,66,60,66,115,482,False,False,True,RU
424,Drifloon,ghost,flying,Aftermath,Unburden,Flare Boost,90,50,34,60,44,70,348,False,False,False,LC
425,Drifblim,ghost,flying,Aftermath,Unburden,Flare Boost,150,80,44,90,54,80,498,False,False,True,RU
426,Buneary,normal,,Run Away,Klutz,Limber,55,66,44,44,56,85,350,False,False,False,LC
427,Lopunny,normal,,Cute Charm,Klutz,Limber,65,76,84,54,96,105,480,False,False,True,RU
428,Mismagius,ghost,,Levitate,,,60,60,60,105,105,105,495,False,False,True,RU
429,Honchkrow,dark,flying,Insomnia,Super Luck,Moxie,100,125,52,105,52,71,505,False,False,True,RU
430,Glameow,normal,,Limber,Own Tempo,Keen Eye,49,55,42,42,37,85,310,False,False,False,LC
431,Purugly,normal,,Thick Fat,Own Tempo,Defiant,71,82,64,64,59,112,452,False,False,True,RU
432,Chingling,psychic,,Levitate,,,45,30,50,65,50,45,285,False,False,False,LC
433,Stunky,poison,dark,Stench,Aftermath,Keen Eye,63,63,47,41,41,74,329,False,False,False,LC
434,Skuntank,poison,dark,Stench,Aftermath,Keen Eye,103,93,67,71,61,84,479,False,False,True,RU
435,Bronzor,steel,psychic,Levitate,Heatproof,Heavy Metal,57,24,86,24,86,23,300,False,False,False,LC
436,Bronzong,steel,psychic,Levitate,Heatproof,Heavy Metal,67,89,116,79,116,33,500,False,False,True,RU
437,Bonsly,rock,,Sturdy,Rock Head,Rattled,50,80,95,10,45,10,290,False,False,False,LC
438,Mime Jr.,psychic,fairy,Soundproof,Filter,Technician,20,25,45,70,90,60,310,False,False,False,LC
439,Happiny,normal,,Natural Cure,Serene Grace,Friend Guard,100,5,5,15,65,30,220,False,False,False,LC
440,Chatot,normal,flying,Keen Eye,Tangled Feet,Big Pecks,76,65,45,92,42,91,411,False,False,True,RU
441,Spiritomb,ghost,dark,Pressure,Infiltrator,,50,92,108,92,108,35,485,False,False,True,RU
442,Gible,dragon,ground,Sand Veil,Rough Skin,,58,70,45,40,45,42,300,False,False,False,LC
443,Gabite,dragon,ground,Sand Veil,Rough Skin,,68,90,65,50,55,82,410,False,False,False,NFE
444,Garchomp,dragon,ground,Sand Veil,Rough Skin,,108,130,95,80,85,102,600,False,False,True,OU
445,Munchlax,normal,,Pickup,Thick Fat,Gluttony,135,85,40,40,85,5,390,False,False,False,LC
446,Riolu,fighting,,Steadfast,Inner Focus,Prankster,40,70,40,35,40,60,285,False,False,False,LC
447,Lucario,fighting,steel,Steadfast,Inner Focus,Justified,70,110,70,115,70,90,525,False,False,True,RU
448,Hippopotas,ground,,Sand Stream,Sand Force,,68,72,78,38,42,32,330,False,False,False,LC
449,Hippowdon,ground,,Sand Stream,Sand Force,,108,112,118,68,72,47,525,False,False,True,RU
450,Skorupi,poison,bug,Battle Armor,Sniper,Keen Eye,40,50,90,30,55,65,330,False,False,False,LC
451,Drapion,poison,dark,Battle Armor,Sniper,Keen Eye,70,90,110,60,75,95,500,False,False,True,RU
452,Croagunk,poison,fighting,Anticipation,Dry Skin,Poison Touch,48,61,40,61,40,50,300,False,False,False,LC
453,Toxicroak,poison,fighting,Anticipation,Dry Skin,Poison Touch,83,106,65,86,65,85,490,False,False,True,RU
454,Carnivine,grass,,Levitate,,,74,100,72,90,72,46,454,False,False,True,RU
455,Finneon,water,,Swift Swim,Storm Drain,Water Veil,49,49,56,49,61,66,330,False,False,False,LC
456,Lumineon,water,,Swift Swim,Storm Drain,Water Veil,69,69,76,69,86,91,460,False,False,True,RU
457,Mantyke,water,flying,Swift Swim,Water Absorb,Water Veil,45,20,50,60,120,50,345,False,False,False,LC
458,Snover,grass,ice,Snow Warning,Soundproof,,60,62,50,62,60,40,334,False,False,False,LC
459,Abomasnow,grass,ice,Snow Warning,Soundproof,,90,92,75,92,85,60,494,False,False,True,RU
460,Weavile,dark,ice,Pressure,Pickpocket,,70,120,65,45,85,125,510,False,False,True,UU
461,Magnezone,electric,steel,Magnet Pull,Sturdy,Analytic,70,70,115,130,90,60,535,False,False,True,UU
462,Lickilicky,normal,,Own Tempo,Oblivious,Cloud Nine,110,85,95,80,95,50,515,False,False,True,RU
463,Rhyperior,ground,rock,Lightning Rod,Solid Rock,Reckless,115,140,130,55,55,40,535,False,False,True,RU
464,Tangrowth,grass,,Chlorophyll,Leaf Guard,Regenerator,100,100,125,110,50,50,535,False,False,True,UU
465,Electivire,electric,,Motor Drive,Vital Spirit,,75,123,67,95,85,95,540,False,False,True,RU
466,Magmortar,fire,,Flame Body,Vital Spirit,,75,95,67,125,95,83,540,False,False,True,RU
467,Togekiss,fairy,flying,Hustle,Serene Grace,Super Luck,85,50,95,120,115,80,545,False,False,True,RU
468,Yanmega,bug,flying,Speed Boost,Tinted Lens,Frisk,86,76,86,116,56,95,515,False,False,True,RU
469,Leafeon,grass,,Leaf Guard,Chlorophyll,,65,110,130,60,65,95,525,False,False,True,RU
470,Glaceon,ice,,Snow Cloak,Ice Body,,65,60,110,130,95,65,525,False,False,True,RU
471,Gliscor,ground,flying,Hyper Cutter,Sand Veil,Poison Heal,75,95,125,45,75,95,510,False,False,True,UU
472,Mamoswine,ice,ground,Oblivious,Snow Cloak,Thick Fat,110,130,80,70,60,80,530,False,False,True,RU
473,Porygon-Z,normal,,Adaptability,Download,Analytic,85,80,70,135,75,90,535,False,False,True,RU
474,Gallade,psychic,fighting,Steadfast,Justified,,68,125,65,65,115,80,518,False,False,True,RU
475,Probopass,rock,steel,Sturdy,Magnet Pull,Sand Force,60,55,145,75,150,40,525,False,False,True,RU
476,Dusknoir,ghost,,Pressure,Frisk,,45,100,135,65,135,45,525,False,False,True,RU
477,Froslass,ice,ghost,Snow Cloak,Cursed Body,,70,80,70,80,70,110,480,False,False,True,RU
478,Rotom,electric,ghost,Levitate,,,50,50,77,95,77,91,440,False,False,True,RU
479,Uxie,psychic,,Levitate,,,75,75,130,75,130,95,580,False,True,True,RU
480,Mesprit,psychic,,Levitate,,,80,105,105,105,105,80,580,False,True,True,RU
481,Azelf,psychic,,Levitate,,,75,125,70,125,70,115,580,False,True,True,RU
482,Dialga,steel,dragon,Pressure,Telepathy,,100,120,120,150,100,90,680,False,True,True,Uber
483,Palkia,water,dragon,Pressure,Telepathy,,90,120,100,150,120,100,680,False,True,True,Uber
484,Heatran,fire,steel,Flash Fire,Flame Body,,91,90,106,130,106,77,600,False,True,True,OU
485,Regigigas,normal,,Slow Start,,,110,160,110,80,110,100,670,False,True,True,RU
486,Giratina,ghost,dragon,Pressure,Telepathy,,150,100,120,100,120,90,680,False,True,True,Uber
487,Cresselia,psychic,,Levitate,,,120,70,110,75,120,85,580,False,True,True,UU
488,Phione,water,,Hydration,,,80,80,80,80,80,80,480,False,True,True,RU
489,Manaphy,water,,Hydration,,,100,100,100,100,100,100,600,False,True,True,RU
490,Darkrai,dark,,Bad Dreams,,,70,90,90,135,90,125,600,False,True,True,Uber
491,Shaymin,grass,,Natural Cure,,,100,100,100,100,100,100,600,False,True,True,RU
492,Arceus,normal,,Multitype,,,120,120,120,120,120,120,720,False,True,True,Uber
493,Victini,psychic,fire,Victory Star,,,100,100,100,100,100,100,600,False,True,True,RU
494,Snivy,grass,,Overgrow,Contrary,,45,45,55,45,55,63,308,False,False,False,LC
495,Servine,grass,,Overgrow,Contrary,,60,60,75,60,75,83,413,False,False,False,NFE
496,Serperior,grass,,Overgrow,Contrary,,75,75,95,75,95,113,528,False,False,True,UU
497,Tepig,fire,,Blaze,Thick Fat,,65,63,45,45,45,45,308,False,False,False,LC
498,Pignite,fire,fighting,Blaze,Thick Fat,,90,93,55,70,55,55,418,False,False,False,NFE
499,Emboar,fire,fighting,Blaze,Reckless,,110,123,65,100,65,65,528,False,False,True,RU
500,Oshawott,water,,Torrent,Shell Armor,,55,55,45,63,45,45,308,False,False,False,LC
501,Dewott,water,,Torrent,Shell Armor,,75,75,60,83,60,60,413,False,False,False,NFE
502,Samurott,water,,Torrent,Shell Armor,,95,100,85,108,70,70,528,False,False,True,RU
503,Patrat,normal,,Run Away,Keen Eye,Analytic,45,55,39,35,39,42,255,False,False,False,LC
504,Watchog,normal,,Illuminate,Keen Eye,Analytic,60,85,69,60,69,77,420,False,False,True,RU
505,Lillipup,normal,,Vital Spirit,Pickup,Run Away,45,60,45,25,45,55,275,False,False,False,LC
506,Herdier,normal,,Intimidate,Sand Rush,Scrappy,65,80,65,35,65,60,370,False,False,False,NFE
507,Stoutland,normal,,Intimidate,Sand Rush,Scrappy,85,110,90,45,90,80,500,False,False,True,RU
508,Purrloin,dark,,Limber,Unburden,Prankster,41,50,37,50,37,66,281,False,False,False,LC
509,Liepard,dark,,Limber,Unburden,Prankster,64,88,50,88,50,106,446,False,False,True,RU
510,Pansage,grass,,Gluttony,Overgrow,,50,53,48,53,48,64,316,False,False,False,LC
511,Simisage,grass,,Gluttony,Overgrow,,75,98,63,98,63,101,498,False,False,True,RU
512,Pansear,fire,,Gluttony,Blaze,,50,53,48,53,48,64,316,False,False,False,LC
513,Simisear,fire,,Gluttony,Blaze,,75,98,63,98,63,101,498,False,False,True,RU
514,Panpour,water,,Gluttony,Torrent,,50,53,48,53,48,64,316,False,False,False,LC
515,Simipour,water,,Gluttony,Torrent,,75,98,63,98,63,101,498,False,False,True,RU
516,Munna,psychic,,Forewarn,Synchronize,Telepathy,76,25,45,67,55,24,292,False,False,False,LC
517,Musharna,psychic,,Forewarn,Synchronize,Telepathy,116,55,85,107,95,29,487,False,False,True,RU
518,Pidove,normal,flying,Big Pecks,Super Luck,Rivalry,50,55,50,36,30,43,264,False,False,False,LC
519,Tranquill,normal,flying,Big Pecks,Super Luck,Rivalry,62,77,62,50,42,65,358,False,False,False,NFE
520,Unfezant,normal,flying,Big Pecks,Super Luck,Rivalry,80,115,80,65,55,93,488,False,False,True,RU
521,Blitzle,electric,,Lightning Rod,Motor Drive,Sap Sipper,45,60,32,50,32,76,295,False,False,False,LC
522,Zebstrika,electric,,Lightning Rod,Motor Drive,Sap Sipper,75,100,63,80,63,116,497,False,False,True,RU
523,Roggenrola,rock,,Sturdy,Weak Armor,Sand Force,55,75,85,25,25,15,280,False,False,False,LC
524,Boldore,rock,,Sturdy,Weak Armor,Sand Force,70,105,105,50,40,20,390,False,False,False,NFE
525,Gigalith,rock,,Sturdy,Sand Stream,Sand Force,85,135,130,60,80,25,515,False,False,True,RU
526,Woobat,psychic,flying,Unaware,Klutz,Simple,65,45,43,55,43,72,323,False,False,False,LC
527,Swoobat,psychic,flying,Unaware,Klutz,Simple,67,57,55,77,55,114,425,False,False,True,RU
528,Drilbur,ground,,Sand Rush,Sand Force,Mold Breaker,60,85,40,30,45,68,328,False,False,False,LC
529,Excadrill,ground,steel,Sand Rush,Sand Force,Mold Breaker,110,135,60,50,65,88,508,False,False,True,UU
530,Audino,normal,,Healer,Regenerator,Klutz,103,60,86,60,86,50,445,False,False,True,RU
531,Timburr,fighting,,Guts,Sheer Force,Iron Fist,75,80,55,25,35,35,305,False,False,False,LC
532,Gurdurr,fighting,,Guts,Sheer Force,Iron Fist,85,105,85,40,50,40,405,False,False,False,NFE
533,Conkeldurr,fighting,,Guts,Sheer Force,Iron Fist,105,140,95,55,65,45,505,False,False,True,RU
534,Tympole,water,,Swift Swim,Hydration,Water Absorb,50,50,40,50,40,64,294,False,False,False,LC
535,Palpitoad,water,ground,Swift Swim,Hydration,Water Absorb,75,65,55,65,55,69,384,False,False,False,NFE
536,Seismitoad,water,ground,Swift Swim,Poison Touch,Water Absorb,105,95,75,85,75,74,509,False,False,True,RU
537,Throh,fighting,,Guts,Inner Focus,Mold Breaker,120,100,85,30,85,45,465,False,False,True,RU
538,Sawk,fighting,,Sturdy,Inner Focus,Mold Breaker,75,125,75,30,75,85,465,False,False,True,RU
